Producto,Nombre,Descripcion,medidas,material,empaque,Impresion,Colores,precio_unitario,precio_mayorista,precio_cliente,precio_promocion7,precio_cliente_mayorista
PAF4010DH,Placa En Acero Grabado,Placa grabada en acero 3 columnas de colores drgradada sobre base de MDF 34 X 26.5 CM,34x26.5 cm,Acero Inoxidable,1,Grabado,Multicolor,$700.00,$700.00,$840.00,$840.00,$840.00
PAFF502S,Placa En Acero Grabado,Placa de acero grabada en alto relieve con cristal desconchado 4 chapetones sobre base de MDF 34 X 26.5 CM,34x26.5 cm,Acero Inoxidable,1,Grabado,Multicolor,$800.00,$800.00,$960.00,$960.00,$960.00
PAF7425H,Placa En Acero Grabado,"Placa Grabada en acero inoxidable tamaño tabloide, rellena de pintura con base de granito negro de 40 X 60 CM",40x60 cm,Acero Inoxidable,1,Grabado,Plateado,"$4,500.00","$4,500.00","$5,400.00","$5,400.00","$5,400.00"
PAF842SH,Placa En Acero Grabado,Placa grabada en acero inoxidable tamaño oficio cmontada en base de cristal con chapetones 56 X 40 CM,56x40 cm,Acero Inoxidable,1,Grabado,Plateado,"$3,500.00","$3,500.00","$4,200.00","$4,200.00","$4,200.00"
PAF131,Placa En Acero Grabado,Placa de acero grabada en bajo relieve tamaño tabloide 60 X 40 CM,60x40 cm,Acero Inoxidable,1,Grabado,Plateado,"$2,400.00","$2,400.00","$2,880.00","$2,880.00","$2,880.00"
RVEL51,Reconocimiento Velero,Reconocimiento en cristal claro en forma de velero con base de cristal 18 X 24 CM,18x24 cm,,1,Grabado,Dorado,$330.00,$330.00,$396.00,$396.00,$396.00
RVEL71,Reconocimiento Velero,Reconocimiento en cristal claro grabado con forma de velero en base piramidal de madera. 18 X 24 CM,18x24 cm,Cristal Claro,1,Grabado,Verde,$260.00,$260.00,$312.00,$312.00,$312.00
RVEL21,Reconocimiento Velero,Reconocimiento en cristal claro Grabado en base de cristal claro con clipo. 18 X 24.5 CM,18x24.5 cm,Cristal Claro,1,Grabado,Verde,$380.00,$380.00,$456.00,$456.00,$456.00
REX42,Reconocimiento Hexagonal,Reconocimiento en cristal filtrasol en forma de hexagono grande con cante facetado en base de cristal filtrasol 20 X 20 CM,20x20 cm,Cristal filtrasol,1,Grabado,Verde,$330.00,$330.00,$396.00,$396.00,$396.00
REX21,Reconocimiento Hexagonal,Reconocimiento en cristal claro en forma de hexagono con canto pulido en base piramidal 20 X 20 CM,20x20 cm,Cristal Claro,1,Grabado,Humo,$235.00,$235.00,$282.00,$282.00,$282.00
RCOL31,Reconocimiento Colmenero,Reconocimiento en cristal claro con canto recto con impresión en alumnio plata con contorno Maria Luisa en base de cristal claro 15 X 20 CM,15x20 cm,Cristal Claro,1,Grabado,Blanco,$280.00,$280.00,$336.00,$336.00,$336.00
RCOL41,Reconocimiento Colmenero,Reconocimiento en cristal claro con canto recto con impresión en aluminio dorado con contorno Maria Luisa en base de cristal claro. 15 X 20 CM,15x20 cm,Cristal Claro,1,Grabado,Humo,$280.00,$280.00,$336.00,$336.00,$336.00
RCOL22,Reconocimiento Colmenero,Reconocimiento en cristal filtrasol con forma irregular y dos impresiones en aluminio con base en cristal filtrasol. 25.5 X 12.5 CM,25.5x12.5 cm,Cristal filtrasol,1,Serigrafia,Blanco,$370.00,$370.00,$444.00,$444.00,$444.00
RED11,Reconocimiento Redondo,"Reconocimiento circular de cristal claro grabado en sand blast relieve b, con base de cristal claro y clip metalico 12  DIAMETRO CM",12 cm diam.,Cristal Claro,1,Serigrafia,Humo,$280.00,$280.00,$336.00,$336.00,$336.00
